Date,Close
2017-02-23,42.55
2017-02-24,42.39
2017-02-27,42.48
2017-02-28,42.25
2017-03-01,42.84
2017-03-02,42.49
2017-03-03,42.45
2017-03-06,42.36
2017-03-07,42.56
2017-03-08,42.68
2017-03-09,42.89
2017-03-10,43.07
2017-03-13,43.23
2017-03-14,43.3
2017-03-15,43.42
2017-03-16,43.5
2017-03-17,43.62
2017-03-20,43.4
2017-03-21,42.51
2017-03-22,42.49
2017-03-23,41.98
2017-03-24,41.76
2017-03-27,41.93
2017-03-28,42.03
2017-03-29,42.49
2017-03-30,42.47
2017-03-31,42.39
2017-04-03,42.84
2017-04-04,42.63
2017-04-05,42.45
2017-04-06,42.25
2017-04-07,42.11
2017-04-10,42.09
2017-04-11,41.99
2017-04-12,42.07
2017-04-13,42.01
2017-04-17,42.76
2017-04-18,42.7
2017-04-19,42.83
2017-04-20,43
2017-04-21,42.95
2017-04-24,43.95
2017-04-25,44.44
2017-04-26,44.46
2017-04-27,44.57
2017-04-28,46.23
2017-05-01,46.64
2017-05-02,46.85
2017-05-03,47.42
2017-05-04,47.74
2017-05-05,47.51
2017-05-08,47.93
2017-05-09,47.84
2017-05-10,47.74
2017-05-11,47.79
2017-05-12,47.76
2017-05-15,47.96
2017-05-16,48.23
2017-05-17,47.11
2017-05-18,47.53
2017-05-19,47.73
2017-05-22,48.2
2017-05-23,48.53
2017-05-24,48.88
2017-05-25,49.59
2017-05-26,49.66
2017-05-30,49.81
2017-05-31,49.35
2017-06-01,49.41
2017-06-02,49.81
2017-06-05,50.19
2017-06-06,49.83
2017-06-07,50.08
2017-06-08,50.21
2017-06-09,48.51
2017-06-12,48.09
2017-06-13,48.53
2017-06-14,48.4
2017-06-15,48.01
2017-06-16,47.93
2017-06-19,48.76
2017-06-20,48.45
2017-06-21,48.93
2017-06-22,48.83
2017-06-23,49.3
2017-06-26,48.6
2017-06-27,47.4
2017-06-28,48.05
2017-06-29,46.89
2017-06-30,46.48
2017-07-03,45.97
2017-07-05,46.61
2017-07-06,46.38
2017-07-07,47.04
2017-07-10,47.55
2017-07-11,47.68
2017-07-12,48.38
2017-07-13,48.44
2017-07-14,48.85
2017-07-17,48.8
2017-07-18,49.35
2017-07-19,49.64
2017-07-20,49.61
2017-07-21,49.69
2017-07-24,49.92
2017-07-25,48.45
2017-07-26,48.27
2017-07-27,47.63
2017-07-28,47.92
2017-07-31,47.28
2017-08-01,47.33
2017-08-02,47.38
2017-08-03,47.02
2017-08-04,47.29
2017-08-07,47.29
2017-08-08,47.21
2017-08-09,47
2017-08-10,46.18
2017-08-11,46.5
2017-08-14,46.95
2017-08-15,46.9
2017-08-16,47.21
2017-08-17,46.38
2017-08-18,46.31
2017-08-21,46.04
2017-08-22,47.02
2017-08-23,47.13
2017-08-24,46.84
2017-08-25,46.53
2017-08-28,46.41
2017-08-29,46.79
2017-08-30,47.18
2017-08-31,47.76
2017-09-01,47.6
2017-09-05,47.07
2017-09-06,47.1
2017-09-07,47.49
2017-09-08,47.07
2017-09-11,47.16
2017-09-12,47.33
2017-09-13,47.52
2017-09-14,47.01
2017-09-15,46.76
2017-09-18,46.49
2017-09-19,46.84
2017-09-20,47.38
2017-09-21,47.38
2017-09-22,47.16
2017-09-25,46.71
2017-09-26,46.87
2017-09-27,48
2017-09-28,48.24
2017-09-29,48.69
2017-10-02,48.37
2017-10-03,48.6
2017-10-04,48.34
2017-10-05,49.26
2017-10-06,49.68
2017-10-09,49.62
2017-10-10,49.39
2017-10-11,50.28
2017-10-12,50.28
2017-10-13,50.39
2017-10-16,50.47
2017-10-17,50.55
2017-10-18,50.64
2017-10-19,50.09
2017-10-20,50.25
2017-10-23,49.28
2017-10-24,49.42
2017-10-25,49.57
2017-10-26,49.57
2017-10-27,51.68
2017-10-30,51.66
2017-10-31,51.65
2017-11-01,52.13
2017-11-02,52.15
2017-11-03,52.5
2017-11-06,52.13
2017-11-07,52.62
2017-11-08,52.91
2017-11-09,52.39
2017-11-10,52.21
